"Gene_ID","Slyc_P3_m_1","Slyc_P3_m_2","Slyc_P3_m_3","Slyc_P4_d_1","Slyc_P4_d_2","Slyc_P4_d_3","Slyc_P4_p_1","Slyc_P4_p_2","Slyc_P4_p_3","Slyc_P5_d_1","Slyc_P5_d_2","Slyc_P5_d_3","Slyc_P5_p_1","Slyc_P5_p_2","Slyc_P5_p_3","Slyc_P6_d_1","Slyc_P6_d_2","Slyc_P6_d_3","Slyc_P6_p_1","Slyc_P6_p_2","Slyc_P6_p_3","Spen_P3_m_1","Spen_P3_m_2","Spen_P3_m_3","Spen_P4_d_1","Spen_P4_d_2","Spen_P4_d_3","Spen_P4_p_1","Spen_P4_p_2","Spen_P4_p_3","Spen_P5_d_1","Spen_P5_d_2","Spen_P5_d_3","Spen_P5_p_1","Spen_P5_p_2","Spen_P5_p_3","Spen_P6_d_1","Spen_P6_d_2","Spen_P6_d_3","Spen_P6_p_1","Spen_P6_p_2","Spen_P6_p_3","Shab_P3_m_1","Shab_P3_m_2","Shab_P3_m_3","Shab_P4_d_1","Shab_P4_d_2","Shab_P4_d_3","Shab_P4_p_1","Shab_P4_p_2","Shab_P4_p_3","Shab_P5_d_1","Shab_P5_d_2","Shab_P5_d_3","Shab_P5_p_1","Shab_P5_p_2","Shab_P5_p_3","Shab_P6_d_1","Shab_P6_d_2","Shab_P6_d_3","Shab_P6_p_1","Shab_P6_p_2","Shab_P6_p_3"
"Solyc07g053640.1.1",49,17,11,100,67,45,64,51,29,135,79,25,240,85,50,168,73,86,159,69,43,78,63,41,192,100,129,160,102,99,203,167,144,179,126,168,358,348,197,175,238,118,40,8,1,32,16,11,20,15,13,24,41,15,44,29,10,59,44,25,45,24,15
"Solyc07g054440.2.1",44,37,51,29,50,37,35,43,49,51,26,19,59,68,34,50,25,35,36,46,34,32,43,47,31,16,25,46,38,41,14,15,18,37,17,35,22,16,13,21,16,19,43,23,23,36,16,23,19,29,34,19,26,27,30,24,42,24,10,13,25,24,30
"Solyc07g062850.2.1",39,43,60,32,49,66,22,47,39,45,44,29,35,52,18,50,51,52,47,47,47,27,29,33,17,14,18,42,27,38,10,7,8,41,19,16,6,6,5,6,3,5,37,29,48,35,31,26,22,28,28,30,30,37,53,42,47,38,13,24,24,35,33
"Solyc07g062890.2.1",15,4,14,11,10,18,8,13,12,6,11,3,15,9,15,12,9,8,16,6,11,8,13,15,8,6,7,16,15,10,13,3,7,12,8,13,3,6,10,5,12,21,5,5,6,3,3,6,7,3,3,NA,6,2,3,1,8,1,NA,7,5,2,6
"Solyc07g063180.2.1",2,3,3,1,4,NA,2,3,2,4,1,NA,9,1,1,5,1,1,NA,2,2,1,2,4,NA,1,2,2,4,5,NA,NA,2,1,1,NA,NA,1,NA,1,NA,1,7,6,11,1,NA,1,2,4,2,3,NA,1,2,4,1,3,NA,2,2,1,4
"Solyc07g063820.2.1",58,53,111,39,57,57,35,56,80,34,41,24,46,67,47,41,40,44,39,37,50,7,7,7,8,10,17,19,13,11,34,39,47,35,20,25,59,65,67,26,36,55,22,24,17,21,21,14,18,15,25,10,21,14,13,16,15,20,8,7,22,19,16
"Solyc08g005130.1.1",18,6,6,11,10,12,13,20,16,8,22,6,20,19,8,7,7,10,19,9,7,2,3,NA,5,3,5,12,3,6,8,3,4,10,6,4,5,14,4,6,14,4,10,3,2,8,13,5,7,13,8,17,5,8,15,14,24,5,6,6,22,8,7
"Solyc08g005440.2.1",21,10,20,21,19,24,26,30,27,17,14,8,31,36,12,20,16,5,27,36,15,18,8,23,10,9,8,20,19,15,7,5,8,24,5,12,9,17,11,11,8,11,48,28,38,8,21,6,19,29,43,6,11,7,23,25,28,7,3,2,14,12,24
"Solyc08g006700.2.1",6,19,10,10,15,11,9,11,16,7,11,3,9,15,12,11,11,24,13,9,8,7,3,11,7,13,11,7,13,12,7,5,3,12,8,16,6,6,12,4,3,6,12,8,11,12,6,4,7,4,14,10,14,13,11,8,28,8,15,13,19,8,20
"Solyc08g007640.1.1",24,12,16,12,10,11,9,12,12,7,6,7,14,15,5,10,8,6,20,15,9,8,3,4,10,10,8,7,5,10,12,12,5,6,11,8,21,15,8,9,9,8,16,6,16,20,13,18,6,11,16,18,15,17,20,15,16,11,7,13,15,15,19
"Solyc08g007800.2.1",5,1,NA,5,4,1,NA,2,1,8,2,1,5,7,1,3,1,NA,4,2,NA,1,3,4,1,NA,NA,6,2,NA,NA,1,NA,3,NA,NA,NA,NA,1,4,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1
"Solyc08g016160.2.1",10,6,8,2,2,3,5,3,3,1,2,1,8,2,2,NA,NA,NA,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"Solyc08g036570.1.1",8,2,5,11,3,3,6,NA,1,3,1,NA,13,6,3,1,1,NA,2,1,NA,4,5,1,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,22,1,3,8,3,2,7,5,2,2,3,NA,2,3,5,2,1,1,4,NA,NA
"Solyc08g059700.1.1",19,4,7,33,31,28,20,24,19,50,16,7,52,26,20,44,17,15,75,32,19,128,103,79,42,33,29,121,94,75,19,15,7,78,41,34,11,16,5,16,21,5,174,49,30,39,26,12,51,53,31,17,14,10,75,65,47,25,10,5,40,44,29
"Solyc08g061650.2.1",14,19,12,9,17,17,12,16,8,19,10,3,20,15,9,16,6,9,13,9,11,17,13,18,6,11,11,18,13,11,7,5,6,24,11,9,10,6,12,9,6,13,36,16,35,25,20,17,15,24,21,22,20,23,23,20,24,14,22,10,16,21,29
"Solyc08g062670.2.1",71,47,88,58,84,72,51,77,80,42,47,26,80,73,44,53,43,84,56,58,53,51,42,69,25,8,45,54,35,48,16,16,26,71,20,55,20,26,40,17,14,18,63,54,62,51,30,56,41,53,64,38,44,55,73,67,66,49,42,45,78,49,68
"Solyc08g066610.2.1",1,3,2,2,2,6,4,5,3,2,4,1,6,1,1,9,6,6,2,2,2,2,4,4,10,6,13,8,4,9,10,6,11,20,9,17,7,5,7,8,6,8,4,1,NA,3,2,NA,NA,2,1,4,NA,3,1,NA,NA,4,1,5,5,2,1
"Solyc08g066840.2.1",55,9,7,45,26,17,43,26,16,49,29,17,88,33,21,96,35,13,136,66,28,24,16,11,32,34,24,42,28,17,44,16,5,69,35,9,21,21,6,20,23,17,63,12,12,43,38,15,35,28,20,46,41,25,64,33,34,32,15,40,83,49,33
"Solyc08g066880.2.1",59,32,26,25,14,11,60,41,32,14,13,2,44,39,23,4,2,3,35,21,24,2,1,NA,NA,1,NA,2,3,NA,NA,1,1,5,4,NA,NA,1,NA,NA,NA,4,11,6,NA,NA,NA,NA,1,NA,4,NA,NA,1,1,1,1,1,NA,NA,NA,3,1
"Solyc08g067440.1.1",1,2,3,4,4,2,2,6,2,3,10,NA,2,2,3,8,9,4,4,7,NA,16,11,22,14,14,10,12,13,25,17,7,17,29,19,25,16,9,10,9,4,14,20,7,15,16,14,13,11,9,13,9,11,19,13,6,18,13,8,28,17,14,30
"Solyc08g078950.2.1",16,9,22,24,17,15,28,16,24,15,13,9,13,8,13,43,21,38,17,8,25,11,15,12,27,40,38,26,28,20,54,45,41,64,42,38,79,82,53,53,78,44,7,NA,NA,8,6,1,4,NA,NA,13,31,2,5,4,4,24,14,10,14,14,8
"Solyc08g078990.1.1",8,5,5,5,8,4,3,4,1,3,7,NA,7,9,1,2,8,NA,1,6,2,1,2,2,4,6,6,3,1,5,2,3,10,5,4,3,2,8,3,3,6,8,7,1,2,4,3,5,3,3,3,2,3,4,5,4,6,4,NA,4,3,2,1
"Solyc08g081370.1.1",20,14,15,17,15,8,16,21,12,12,10,4,31,27,15,10,6,5,21,22,16,13,13,17,2,7,6,11,8,10,6,4,1,14,5,7,4,7,5,6,3,17,20,7,15,20,14,14,15,13,27,9,9,10,25,16,24,16,8,10,34,10,30
"Solyc08g081690.2.1",13,13,15,NA,5,5,11,14,3,9,3,2,4,7,7,2,2,1,2,6,2,7,7,11,6,4,15,2,5,10,2,13,15,8,5,14,6,5,12,8,11,17,12,14,22,6,1,3,4,12,10,3,4,3,12,7,6,9,3,5,NA,2,3
"Solyc08g082920.2.1",17,11,12,6,12,12,12,15,9,26,16,4,26,15,8,41,18,14,33,14,8,18,9,6,9,19,7,13,10,10,7,9,8,32,9,13,16,12,6,4,15,9,22,9,10,11,6,7,10,10,14,15,11,13,18,16,17,10,11,16,29,21,16
"Solyc09g007040.1.1",1,1,2,1,3,NA,4,NA,1,2,2,NA,2,2,NA,3,4,1,4,3,NA,1,6,4,1,3,1,5,3,1,1,1,NA,5,2,2,NA,1,1,NA,NA,3,2,3,NA,4,3,2,NA,6,3,2,5,3,3,5,2,2,NA,1,2,2,2
"Solyc09g008680.2.1",17,11,15,15,14,9,15,8,15,11,14,7,15,15,9,16,21,24,21,18,12,6,1,1,1,3,6,2,5,2,NA,1,NA,13,NA,6,2,1,NA,NA,NA,6,7,6,5,6,3,6,5,10,9,8,11,9,10,6,9,10,8,9,7,7,9
"Solyc09g009580.2.1",15,8,14,14,19,9,25,19,16,18,7,NA,29,15,9,10,2,NA,13,3,1,16,15,23,3,2,1,13,14,19,1,NA,NA,4,3,6,NA,1,NA,1,NA,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
"Solyc09g011080.2.1",23,112,40,29,49,45,133,142,29,31,29,34,28,23,25,140,52,98,29,25,44,69,75,65,298,356,430,100,166,159,629,1183,729,542,591,502,1257,1451,1037,616,1834,1002,18,11,24,47,40,53,16,9,15,105,136,140,43,31,38,161,164,292,131,116,157
"Solyc09g031900.2.1",28,31,35,22,22,31,19,35,27,21,28,10,29,28,18,13,17,37,21,20,26,33,31,57,23,15,40,37,24,49,15,5,14,49,22,53,3,7,6,12,2,13,29,13,28,18,22,32,20,21,39,20,18,40,24,30,46,23,31,36,37,29,34
"Solyc09g058980.2.1",3,NA,2,3,1,NA,1,5,1,NA,NA,NA,2,NA,NA,3,1,1,1,NA,1,7,3,2,2,2,4,6,4,2,4,2,1,6,2,3,3,1,2,1,1,5,3,1,4,1,2,2,2,2,NA,1,2,3,2,3,4,NA,NA,3,4,2,NA
"Solyc09g075100.2.1",7,4,3,6,7,10,6,4,14,7,6,2,9,5,4,12,6,2,5,4,6,7,4,7,7,1,1,5,5,6,1,2,1,12,6,4,1,4,NA,2,NA,5,8,3,7,12,6,5,6,2,8,8,4,4,1,7,6,5,2,4,13,3,9
"Solyc09g082980.2.1",250,177,215,142,182,144,136,175,181,191,161,63,263,238,152,155,125,115,153,161,131,121,129,207,78,66,104,143,95,186,77,69,88,199,78,112,125,147,78,118,125,112,228,147,203,129,129,133,94,153,229,115,126,155,167,161,236,103,96,122,157,143,174
"Solyc09g083130.2.1",10,49,20,33,56,39,33,56,44,28,34,21,41,48,31,94,83,121,45,67,85,30,47,55,60,83,105,47,58,87,154,192,180,192,142,155,230,282,256,122,284,236,55,40,67,45,52,42,20,43,52,105,139,124,57,77,72,185,167,237,143,117,127
"Solyc09g091260.2.1",37,34,38,44,45,35,30,42,55,45,27,20,56,65,35,22,15,25,40,35,25,46,34,30,33,19,36,70,40,43,23,20,19,43,29,38,40,22,34,33,27,27,35,24,18,23,22,14,18,26,32,20,20,23,46,36,37,17,8,16,25,11,30
"Solyc09g091960.2.1",41,50,52,19,34,24,40,39,30,15,8,6,28,24,25,10,5,14,9,16,11,25,15,16,6,7,5,11,6,4,13,25,8,8,12,1,74,73,29,12,54,8,52,45,43,16,14,12,21,22,37,7,13,9,23,24,24,8,6,8,24,14,10
"Solyc09g097930.2.1",20,10,8,5,7,2,15,4,9,9,1,1,18,7,3,7,2,NA,9,4,3,15,3,14,2,NA,NA,9,7,7,NA,NA,NA,4,NA,1,NA,1,NA,NA,NA,NA,19,2,9,5,3,NA,18,5,4,4,1,2,9,3,10,4,1,1,6,3,NA
"Solyc10g008250.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Solyc10g017630.1.1",11,4,4,NA,NA,NA,3,1,4,1,NA,1,4,NA,3,NA,1,NA,NA,NA,1,2,1,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,2,NA,1,NA,NA,NA,1,2,1,NA,NA,NA,1,2,NA,NA,1,1,NA,2,NA
"Solyc10g024420.1.1",NA,NA,NA,NA,NA,2,1,1,NA,NA,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,4,1,NA,NA,1,NA,NA,1,1,1,1,NA,1,1,2,NA,1,NA
"Solyc10g039290.1.1",8,17,3,16,27,19,15,28,12,55,48,17,17,25,19,128,107,77,100,35,55,9,9,6,60,75,70,21,55,21,134,81,123,191,166,149,84,75,85,116,97,151,3,1,NA,5,4,4,5,1,1,15,21,24,5,3,6,46,39,55,34,14,18
"Solyc10g074520.1.1",7,7,6,4,3,6,6,13,4,NA,5,1,6,6,2,6,1,4,6,9,NA,2,11,4,5,4,5,9,5,10,2,3,1,5,3,4,2,2,2,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,NA
"Solyc10g075080.1.1",NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Solyc10g078580.1.1",17,14,4,4,14,13,21,22,8,12,15,1,20,8,7,32,15,14,19,14,4,16,19,9,37,46,25,25,28,22,52,83,67,71,77,58,42,48,42,48,70,68,12,4,4,6,7,3,7,7,3,9,15,10,8,4,2,21,18,24,14,14,5
"Solyc10g079620.1.1",28,54,144,23,51,122,26,64,118,36,29,25,40,47,92,33,17,77,32,22,86,28,67,192,59,55,135,53,81,135,89,142,111,110,121,170,163,155,165,75,210,200,27,27,94,21,33,76,22,27,117,27,36,63,33,47,127,30,31,88,57,49,130
"Solyc10g081050.1.1",27,41,29,34,34,29,29,44,30,58,58,21,58,57,17,79,51,73,46,41,32,35,28,27,42,52,77,47,51,51,38,27,49,101,29,103,31,24,29,21,16,49,41,21,18,42,31,27,15,26,25,39,37,40,42,32,39,80,44,51,77,45,53
"Solyc10g081230.1.1",5,2,6,4,2,2,3,2,5,5,3,NA,4,6,1,1,1,1,2,NA,1,3,5,11,2,NA,2,4,1,3,1,1,2,NA,NA,1,2,NA,NA,NA,1,2,5,5,4,3,2,3,1,1,4,3,1,1,5,3,2,2,NA,1,2,NA,NA
"Solyc10g081700.1.1",13,11,8,3,3,4,9,8,3,8,3,NA,11,4,3,1,NA,1,8,3,1,8,4,9,NA,1,NA,4,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,14,22,1,NA,NA,11,14,10,1,NA,NA,6,6,8,NA,NA,1,5,4,3
"Solyc10g084320.1.1",635,422,460,399,493,433,565,744,663,237,370,96,611,730,341,145,88,113,305,327,215,92,7,19,7,4,6,21,9,25,8,8,5,172,21,17,2,14,6,15,5,3,572,513,769,174,289,312,341,710,912,237,302,355,545,633,644,296,245,340,530,475,447
"Solyc10g085750.1.1",15,11,9,9,1,9,9,12,7,7,5,2,18,7,4,5,4,NA,8,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,1,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"Solyc10g086570.2.1",90,169,201,169,292,269,117,222,233,122,297,122,204,257,240,279,362,777,228,275,287,92,79,216,141,176,283,131,130,234,216,271,572,378,226,583,291,568,507,203,421,517,65,33,70,101,66,109,41,36,111,86,102,126,70,52,84,229,266,239,119,99,117
"Solyc11g006110.1.1",5,4,5,3,2,5,4,10,8,7,8,NA,2,7,3,11,5,1,4,5,3,4,2,9,NA,2,6,NA,6,7,5,6,1,3,2,4,3,7,5,5,1,4,2,1,1,1,2,NA,1,NA,NA,1,NA,1,1,1,NA,1,NA,2,1,2,1
"Solyc11g007650.1.1",1,2,NA,1,1,2,NA,1,1,2,2,NA,2,1,1,2,NA,2,1,2,NA,1,2,NA,3,NA,1,NA,1,NA,1,1,2,2,2,1,1,2,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
"Solyc11g008480.1.1",9,7,13,11,28,23,11,15,12,11,8,8,18,15,11,21,34,42,14,19,25,12,13,30,27,28,50,22,24,16,31,40,60,74,43,74,28,28,45,32,41,60,17,7,14,9,15,11,7,10,13,11,20,27,12,15,20,31,43,35,35,28,35
"Solyc11g011920.1.1",53,30,23,46,51,31,55,50,29,75,53,19,83,78,29,125,66,53,125,86,31,11,11,11,22,25,19,26,21,33,65,66,52,87,49,34,220,592,148,97,174,81,11,5,2,19,19,17,10,9,17,24,29,32,21,13,19,37,36,44,30,21,24
"Solyc11g065890.1.1",2,2,2,NA,NA,NA,2,1,2,1,2,1,2,1,1,1,2,NA,2,NA,NA,1,1,2,3,2,2,5,1,NA,4,NA,2,2,1,NA,5,1,5,1,NA,3,1,1,NA,2,NA,NA,2,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,1,1,NA
"Solyc11g067270.1.1",1,10,3,6,4,3,4,14,4,10,6,4,23,2,1,11,2,12,2,3,2,99,89,80,147,49,84,161,82,137,37,17,37,117,41,92,40,58,31,39,38,42,51,5,13,41,31,13,37,17,15,69,63,51,32,21,40,61,58,39,46,31,37
"Solyc11g071620.1.1",142,123,104,102,91,82,116,144,99,145,91,33,338,160,66,109,56,67,147,111,68,118,183,220,148,145,217,214,160,236,165,95,129,264,157,259,148,164,132,165,96,226,80,47,78,39,49,41,34,54,63,31,53,40,60,64,51,59,44,42,83,57,44
"Solyc11g072500.1.1",8,3,4,10,11,9,6,9,9,13,15,3,21,19,10,39,23,36,33,24,13,11,13,15,48,23,31,42,38,30,14,7,15,41,20,59,8,7,11,6,2,22,15,5,1,17,13,5,6,5,8,21,13,15,22,8,16,26,14,15,32,21,18
"Solyc11g072510.1.1",57,46,54,68,65,43,70,72,52,77,72,22,71,77,46,92,68,72,62,56,57,62,53,76,82,58,62,87,62,79,65,41,64,130,73,96,74,71,38,50,59,62,96,42,60,70,57,40,42,52,61,68,63,67,68,52,58,82,68,75,94,73,77
"Solyc11g073110.1.1",2,1,2,4,1,NA,1,2,NA,2,1,NA,3,3,NA,1,2,NA,5,NA,NA,12,14,18,4,4,5,8,3,5,4,1,1,4,4,4,4,NA,NA,NA,2,3,15,3,9,3,2,3,10,5,8,5,NA,1,5,2,2,NA,5,NA,1,2,2
"Solyc12g005220.1.1",3,1,7,3,7,8,4,11,7,2,3,1,11,6,5,11,3,4,8,9,11,3,3,4,2,3,5,6,8,6,4,4,8,16,8,11,7,17,4,4,13,11,7,4,5,3,9,5,2,6,6,2,5,3,7,6,6,6,11,5,7,5,9
"Solyc12g005350.1.1",37,29,30,12,13,11,17,26,25,9,10,10,32,25,14,7,8,3,19,20,12,13,10,19,NA,2,NA,10,5,19,NA,NA,NA,11,1,4,NA,1,1,1,NA,2,21,24,27,7,8,5,13,20,41,3,1,3,21,15,16,10,6,2,14,15,10
"Solyc12g008600.1.1",5,4,1,2,4,3,4,9,2,7,6,4,10,5,3,15,2,3,6,1,3,5,11,11,8,23,11,15,9,12,14,28,17,25,24,15,12,44,14,16,59,31,7,4,4,7,4,1,6,2,4,1,7,2,10,5,7,9,2,5,13,10,2
"Solyc12g009850.1.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"Solyc12g014310.1.1",9,6,6,19,9,4,8,9,11,15,7,2,25,14,15,15,6,10,38,15,10,3,10,5,20,10,5,17,8,15,5,10,9,12,11,12,5,11,8,6,9,9,7,2,3,7,5,5,7,3,3,4,4,6,10,11,8,9,5,5,12,11,19
"Solyc12g019550.1.1",46,108,21,84,66,69,74,102,41,74,54,22,85,39,44,125,64,111,66,59,46,72,64,90,177,184,232,123,131,142,374,312,381,403,285,386,527,471,377,317,438,435,85,24,46,100,54,66,55,45,71,110,85,92,65,50,64,189,202,176,142,84,116
"Solyc12g027760.1.1",5,5,9,NA,4,8,NA,3,10,1,2,2,4,8,6,4,1,14,6,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA
"Solyc12g038600.1.1",6,3,5,5,1,3,5,4,6,8,4,1,7,4,2,6,1,3,6,9,4,5,6,3,5,3,4,8,7,4,3,1,3,10,2,5,2,5,3,1,2,NA,5,3,5,7,1,4,2,8,4,6,1,2,7,5,4,7,3,3,3,6,7
"Solyc12g042600.1.1",46,16,20,20,22,17,16,15,14,31,24,10,32,22,12,39,36,48,19,16,7,6,8,7,3,6,7,10,2,3,14,5,9,14,6,12,18,32,31,12,15,12,11,1,2,1,6,4,3,10,6,1,1,4,8,11,11,5,2,11,15,5,3
"Solyc12g045030.1.1",27,42,42,30,37,35,23,39,41,17,44,9,32,41,36,22,34,64,17,32,17,1,2,15,1,2,9,1,NA,7,4,6,7,17,3,7,15,24,33,8,8,13,9,4,10,2,2,5,3,4,9,3,6,3,5,4,3,NA,6,13,5,1,10
"Solyc12g055710.1.1",1,1,1,1,NA,NA,NA,3,NA,4,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,5,4,5,3,2,5,8,5,4,1,5,6,2,3,5,2,1,1,2,7,3,5,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"Solyc12g056770.1.1",54,34,48,42,42,34,33,51,32,42,24,7,56,61,30,55,31,39,47,35,23,37,17,23,22,18,16,34,20,30,12,11,13,31,20,24,14,27,16,10,19,26,51,21,34,35,28,16,17,20,27,13,20,36,38,33,29,26,30,21,43,29,31
"Solyc12g088220.1.1",19,24,16,27,30,9,15,36,16,41,18,8,40,20,9,108,65,92,33,32,24,55,37,33,96,87,71,101,95,64,69,47,74,180,92,146,42,19,23,56,28,38,38,15,11,30,39,15,25,20,16,32,43,35,32,32,29,75,92,54,54,41,41
"Solyc12g089240.1.1",8,3,8,10,11,11,9,11,11,1,3,1,9,13,6,4,1,4,4,2,3,3,3,30,1,NA,7,1,5,11,1,1,4,10,3,13,1,5,2,3,3,4,9,3,30,6,6,14,3,8,50,1,3,20,5,11,25,1,4,6,NA,4,11
